2024-11-25T06:58:14+03:00
Running /home/dym/CLionProjects/ER-Telecom_qualification/cmake-build-release/net_utils/bench/ER_Telecom_qualif-bench-DnsCacheImpl
Run on (24 X 5159.77 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x12)
  L1 Instruction 32 KiB (x12)
  L2 Unified 512 KiB (x12)
  L3 Unified 32768 KiB (x2)
Load Average: 10.29, 8.04, 6.48
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                                   Time             CPU   Iterations      cache       r_it         rs       w_it         ws
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/90000/50000/500         2394 ns         1301 ns       570057        10k        50k         22        500          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/90000/100000/500        3987 ns         1295 ns       546313        10k       100k         22        500          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/90000/100/1000          1317 ns         1313 ns       541587        10k        100         22         1k          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/90000/50000/1000        2647 ns         1296 ns       544716        10k        50k         22         1k          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/90000/100000/1000       3903 ns         1307 ns       544048        10k       100k         22         1k          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/10000/100/100                             191 ns          191 ns      3537587         1k        100          2        100         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/10000/50000/100                           196 ns          191 ns      3748263         1k        50k          2        100         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/10000/100000/100                          192 ns          182 ns      3615755         1k       100k          2        100         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/10000/100/500                             191 ns          189 ns      3769436         1k        100          2        500         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/10000/50000/500                           188 ns          183 ns      3802795         1k        50k          2        500         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/10000/100000/500                          200 ns          189 ns      3755361         1k       100k          2        500         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/10000/100/1000                            186 ns          182 ns      3919713         1k        100          2         1k         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/10000/50000/1000                          198 ns          191 ns      3744669         1k        50k          2         1k         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/10000/100000/1000                         206 ns          191 ns      3751490         1k       100k          2         1k         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/50000/100/100                             190 ns          190 ns      3727802         1k        100         12        100         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/50000/50000/100                           236 ns          188 ns      3417208         1k        50k         12        100         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/50000/100000/100                          271 ns          188 ns      3735004         1k       100k         12        100         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/50000/100/500                             191 ns          190 ns      3741399         1k        100         12        500         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/50000/50000/500                           237 ns          185 ns      3330924         1k        50k         12        500         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/50000/100000/500                          286 ns          186 ns      3493220         1k       100k         12        500         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/50000/100/1000                            190 ns          187 ns      3840748         1k        100         12         1k         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/50000/50000/1000                          239 ns          188 ns      3775692         1k        50k         12         1k         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/50000/100000/1000                         279 ns          186 ns      3891768         1k       100k         12         1k         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/90000/100/100                             183 ns          182 ns      3802454         1k        100         22        100          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/90000/50000/100                           263 ns          191 ns      3728299         1k        50k         22        100          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/90000/100000/100                          336 ns          190 ns      3720322         1k       100k         22        100          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/90000/100/500                             191 ns          190 ns      3723855         1k        100         22        500          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/90000/50000/500                           265 ns          188 ns      3869099         1k        50k         22        500          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/90000/100000/500                          332 ns          182 ns      3900742         1k       100k         22        500          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/90000/100/1000                            183 ns          182 ns      3645698         1k        100         22         1k          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/90000/50000/1000                          266 ns          184 ns      3855237         1k        50k         22         1k          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/1000/90000/100000/1000                         346 ns          185 ns      3881628         1k       100k         22         1k          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/10000/100/100                           1288 ns         1286 ns       564205        10k        100          2        100         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/10000/50000/100                         1326 ns         1292 ns       554151        10k        50k          2        100         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/10000/100000/100                        1400 ns         1332 ns       542262        10k       100k          2        100         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/10000/100/500                           1340 ns         1328 ns       542067        10k        100          2        500         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/10000/50000/500                         1380 ns         1326 ns       540792        10k        50k          2        500         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/10000/100000/500                        1386 ns         1318 ns       531404        10k       100k          2        500         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/10000/100/1000                          1355 ns         1331 ns       541484        10k        100          2         1k         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/10000/50000/1000                        1383 ns         1327 ns       539763        10k        50k          2         1k         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/10000/100000/1000                       1406 ns         1325 ns       541668        10k       100k          2         1k         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/50000/100/100                           1339 ns         1336 ns       539588        10k        100         12        100         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/50000/50000/100                         1534 ns         1327 ns       477120        10k        50k         12        100         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/50000/100000/100                        1692 ns         1256 ns       558317        10k       100k         12        100         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/50000/100/500                           1301 ns         1292 ns       560020        10k        100         12        500         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/50000/50000/500                         1555 ns         1275 ns       557891        10k        50k         12        500         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/50000/100000/500                        1885 ns         1278 ns       555046        10k       100k         12        500         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/50000/100/1000                          1326 ns         1314 ns       550125        10k        100         12         1k         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/50000/50000/1000                        1548 ns         1256 ns       558173        10k        50k         12         1k         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/50000/100000/1000                       1893 ns         1290 ns       551751        10k       100k         12         1k         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/90000/100/100                           1279 ns         1277 ns       559342        10k        100         22        100          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/90000/50000/100                         1805 ns         1288 ns       551516        10k        50k         22        100          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/90000/100000/100                        2244 ns         1282 ns       563242        10k       100k         22        100          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/90000/100/500                           1283 ns         1280 ns       552929        10k        100         22        500          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/90000/50000/500                         1851 ns         1323 ns       532656        10k        50k         22        500          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/90000/100000/500                        2373 ns         1317 ns       534019        10k       100k         22        500          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/90000/100/1000                          1322 ns         1320 ns       536642        10k        100         22         1k          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/90000/50000/1000                        1841 ns         1282 ns       527288        10k        50k         22         1k          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_std_mx>>/std_mx/10000/90000/100000/1000                       2312 ns         1295 ns       551361        10k       100k         22         1k          2
